name,public_transport,railway,source,tram,wheelchair,wikidata,geometry,name:de,ref:IFOPT,name:es,name:nl,ref,note,bench,bin,bus,highway,lit,operator,shelter,tactile_paving,zone,old_name,website,fixme
Meester Visserplein,stop_position,tram_stop,AND,yes,yes,Q111397558,POINT (4.9053602 52.3679611),,,,,,,,,,,,,,,,,,
Dam,stop_position,tram_stop,,yes,limited,Q111305178,POINT (4.8936441 52.3735332),,,,,,,,,,,,,,,,,,
Waterlooplein,stop_position,tram_stop,,yes,,Q111397560,POINT (4.9019846 52.3669934),Waterlooplatz,,,,,,,,,,,,,,,,,
Muziekgebouw,stop_position,tram_stop,,yes,yes,Q111458110,POINT (4.9134308 52.3772063),,NL:Q:30008234,,,,,,,,,,,,,,,,
Keizersgracht,stop_position,tram_stop,,yes,yes,Q111305180,POINT (4.8863435 52.3659309),,,,,,,,,,,,,,,,,,
Centraal Station,stop_position,tram_stop,,yes,,Q21548886,POINT (4.9003819 52.3778942),Hauptbahnhof,,Central Station Amsterdam,Centraal Station,A2,,,,,,,,,,,,,
Centraal Station,stop_position,tram_stop,,yes,,Q21548886,POINT (4.9009769 52.3778507),Hauptbahnhof,,,,A1,,,,,,,,,,,,,
Artis,stop_position,tram_stop,,yes,,Q111397554,POINT (4.910955 52.3667187),,,,,,,,,,,,,,,,,,
Dam,stop_position,tram_stop,,yes,yes,Q111305178,POINT (4.8908314 52.373751),,,,,,,,,,,,,,,,,,
Dam,stop_position,tram_stop,,yes,,Q111305178,POINT (4.891245 52.3727319),,,,,,tramhalte voor omleidingen en calamiteiten,,,,,,,,,,,,
Dam,stop_position,tram_stop,,yes,,Q111305178,POINT (4.8913489 52.3735587),,,,,,tramhalte voor omleidingen en calamiteiten,,,,,,,,,,,,
Nieuwezijds Kolk,stop_position,tram_stop,,yes,,Q111305176,POINT (4.8934715 52.3761313),,,,,,,,,,,,,,,5700,,,
Nieuwezijds Kolk,stop_position,tram_stop,,yes,,Q111305176,POINT (4.8930014 52.3758615),,,,,,,,,,,,,,,5700,,,
Centraal Station,stop_position,tram_stop,,yes,,Q21548886,POINT (4.9003434 52.3778058),Hauptbahnhof,,,Centraal Station,A4,,,,,,,,,,,,,
Centraal Station,stop_position,tram_stop,,yes,,Q21548886,POINT (4.9003629 52.3778505),Hauptbahnhof,,,,A3,,,,,,,,,,,,,
Dam,stop_position,tram_stop,,yes,,,POINT (4.8953791 52.3748676),,,,,,,,,,,,,,,,,,
