name;public_transport;railway;tram;geometry
Concertgebouw;stop_position;tram_stop;yes;POINT (4.8796377 52.3566951)
Rijksmuseum;stop_position;tram_stop;yes;POINT (4.887104 52.3609734)
Vijzelgracht;stop_position;tram_stop;yes;POINT (4.8909623 52.3599031)
Concertgebouw;stop_position;tram_stop;yes;POINT (4.8795995 52.3560193)
Cornelis Schuytstraat;stop_position;tram_stop;yes;POINT (4.870782 52.3560251)
Museumplein;stop_position;tram_stop;yes;POINT (4.8812446 52.358854)
Bilderdijkstraat;stop_position;tram_stop;yes;POINT (4.8708148 52.3710541)
Keizersgracht;stop_position;tram_stop;yes;POINT (4.8983188 52.3638329)
Prinsengracht;stop_position;tram_stop;yes;POINT (4.8843839 52.3650035)
Keizersgracht;stop_position;tram_stop;yes;POINT (4.8863435 52.3659309)
Vijzelgracht;stop_position;tram_stop;yes;POINT (4.8921024 52.3595051)
Bilderdijkstraat;stop_position;tram_stop;yes;POINT (4.8717631 52.3671254)
Elandsgracht;stop_position;tram_stop;yes;POINT (4.8775579 52.3695272)
Elandsgracht;stop_position;tram_stop;yes;POINT (4.8784804 52.3681689)
Elandsgracht;stop_position;tram_stop;yes;POINT (4.8768971 52.368541)
Concertgebouw;stop_position;tram_stop;yes;POINT (4.8791804 52.3559245)
Concertgebouw;stop_position;tram_stop;yes;POINT (4.8798 52.3564107)
De Clercqstraat;stop_position;tram_stop;yes;POINT (4.8705518 52.3712485)
Leidseplein;stop_position;tram_stop;yes;POINT (4.8830722 52.3634714)
Leidseplein;stop_position;tram_stop;yes;POINT (4.8806933 52.3646825)
Bilderdijkstraat;stop_position;tram_stop;yes;POINT (4.8725518 52.3673632)
Kinkerstraat;stop_position;tram_stop;yes;POINT (4.8722954 52.3670831)
Rokin;stop_position;tram_stop;yes;POINT (4.8921252 52.3694572)
Rokin;stop_position;tram_stop;yes;POINT (4.892274 52.3697221)
Rembrandtplein;stop_position;tram_stop;yes;POINT (4.8964238 52.3662601)
Vijzelgracht;stop_position;tram_stop;yes;POINT (4.8910303 52.3600132)
Keizersgracht;stop_position;tram_stop;yes;POINT (4.8982915 52.3637916)
Frederiksplein;stop_position;tram_stop;yes;POINT (4.8989049 52.3590024)
Koningsplein;stop_position;tram_stop;yes;POINT (4.8889206 52.368085)
Rembrandtplein;stop_position;tram_stop;yes;POINT (4.8968199 52.3662292)
Rozengracht;stop_position;tram_stop;yes;POINT (4.875944 52.3718196)
Kinkerstraat;stop_position;tram_stop;yes;POINT (4.8719933 52.3674579)
Bilderdijkstraat;stop_position;tram_stop;yes;POINT (4.8698359 52.3708243)
Overtoom/ 1e C. Huygensstraat;stop_position;tram_stop;yes;POINT (4.8750893 52.3630125)
Overtoom/ 1e C. Huygensstraat;stop_position;tram_stop;yes;POINT (4.8749794 52.363227)
Van Baerlestraat;stop_position;tram_stop;yes;POINT (4.878318 52.3584538)
Van Baerlestraat;stop_position;tram_stop;yes;POINT (4.8781266 52.3587793)
Keizersgracht;stop_position;tram_stop;yes;POINT (4.8865383 52.3659919)
Leidseplein;stop_position;tram_stop;yes;POINT (4.8829633 52.3642229)
Prinsengracht;stop_position;tram_stop;yes;POINT (4.8845404 52.3650457)
Cornelis Schuytstraat;stop_position;tram_stop;yes;POINT (4.8705851 52.3559987)
Frederiksplein;stop_position;tram_stop;yes;POINT (4.8978483 52.3594109)
Rijksmuseum;stop_position;tram_stop;yes;POINT (4.8873395 52.3608307)
Marie Heinekenplein;stop_position;tram_stop;yes;POINT (4.8907033 52.3570037)
Muntplein;stop_position;tram_stop;yes;POINT (4.8931342 52.3662653)
Muntplein;stop_position;tram_stop;yes;POINT (4.8930583 52.3658545)
Marie Heinekenplein;stop_position;tram_stop;yes;POINT (4.8907718 52.3571177)
Leidseplein;stop_position;tram_stop;yes;POINT (4.8810698 52.3632085)
Prinsengracht;stop_position;tram_stop;yes;POINT (4.898949 52.3620972)
Prinsengracht;stop_position;tram_stop;yes;POINT (4.8989773 52.3621338)
Vijzelgracht;stop_position;tram_stop;yes;POINT (4.8925358 52.3594772)
De Clercqstraat;stop_position;tram_stop;yes;POINT (4.8703967 52.3706445)
Weteringcircuit;stop_position;tram_stop;yes;POINT (4.8923379 52.3593327)
Koningsplein;stop_position;tram_stop;yes;POINT (4.8893427 52.3677188)
Museumplein;stop_position;tram_stop;yes;POINT (4.8806042 52.3587143)
Museumplein;stop_position;tram_stop;yes;POINT (4.880612 52.3586985)
Paleisstraat;stop_position;tram_stop;yes;POINT (4.890644 52.3719008)
