bench,bin,bus,highway,lit,name,operator,public_transport,shelter,tactile_paving,zone,geometry,wheelchair,ref:IFOPT,note,ref,old_name,tram,wikidata,website,name:de,fixme
yes,yes,yes,bus_stop,yes,Prins Hendrikkade,GVB,platform,yes,no,5700,POINT (4.9054983 52.3739482),,,,,,,,,,
yes,yes,yes,bus_stop,yes,Prins Hendrikkade,,platform,yes,no,5700,POINT (4.9064773 52.3734195),,,,,,,,,,
yes,yes,yes,bus_stop,,IJ tunnel,GVB,platform,yes,,5700,POINT (4.9094836 52.3723269),yes,,,,,,,,,
yes,yes,yes,bus_stop,yes,Kadijksplein,,platform,yes,yes,,POINT (4.9133407 52.3710067),,NL:Q:30008028,,,,,,,,
yes,yes,yes,bus_stop,no,Kadijksplein,,platform,yes,yes,,POINT (4.9133884 52.3707341),,NL:Q:30008027,,,,,,,,
,,yes,bus_stop,,Prins Hendrikkade,,platform,,,,POINT (4.9023846 52.3768268),,,uitstaphalte,,,,,,,
no,,yes,bus_stop,,Waterlooplein,,platform,no,no,5700,POINT (4.9045019 52.3687652),,NL:Q:30005051,,,,,,,,
,,yes,bus_stop,,Buiten Brouwersstraat,,platform,,,,POINT (4.8915109 52.381499),,,,,,,,,,
,,yes,bus_stop,,Buiten Brouwersstraat,,platform,,,,POINT (4.8913321 52.3816704),,,,,,,,,,
yes,yes,yes,bus_stop,yes,Centraal Station,,platform,yes,yes,,POINT (4.8995252 52.3800943),yes,,,L,,,,,,
,yes,yes,bus_stop,,Centraal Station,,platform,yes,yes,,POINT (4.900341 52.3797949),yes,,,K,,,,,,
,yes,yes,bus_stop,,Centraal Station,,platform,yes,yes,,POINT (4.9008618 52.3797838),yes,,,C,,,,,,
,yes,yes,bus_stop,,Centraal Station,,platform,yes,yes,,POINT (4.9007132 52.3796597),yes,,,J,,,,,,
,yes,yes,bus_stop,,Centraal Station,,platform,yes,yes,,POINT (4.9012879 52.379452),yes,,,H,,,,,,
,yes,yes,bus_stop,,Centraal Station,,platform,yes,yes,,POINT (4.9001527 52.3800419),yes,,,B,,,,,,
,,yes,bus_stop,,Piet Heinkade,,platform,yes,,,POINT (4.9135876 52.3773744),yes,NL:Q:30008004,,,,,,,,
yes,yes,yes,bus_stop,yes,Centraal Station,,platform,yes,yes,,POINT (4.8995602 52.3802528),yes,,,A,,,,,,
yes,no,yes,bus_stop,yes,Prins Hendrikkade,GVB,platform,yes,no,5700,POINT (4.9044762 52.3745103),,,,,,,,,,
yes,yes,yes,bus_stop,yes,Rokin,,platform,yes,yes,,POINT (4.8920866 52.3694587),,,,,Spui,,,,,
yes,yes,yes,bus_stop,yes,Rokin,,platform,yes,yes,,POINT (4.892305 52.3697177),,,,,Spui,,,,,
,,yes,bus_stop,,Dam,,platform,,,,POINT (4.8936147 52.3735458),,,,,,,,,,
yes,,yes,bus_stop,,Dam,,platform,yes,,,POINT (4.8954037 52.3748552),,,,,,,,,,
,,yes,bus_stop,,Nieuwezijds Kolk,,platform,yes,,,POINT (4.8934966 52.3761133),,,,,,yes,Q111305176,,,
,,yes,bus_stop,,Nieuwezijds Kolk,,platform,yes,,,POINT (4.8929776 52.3758742),,,,,,yes,Q111305176,,,
,yes,yes,bus_stop,,Centraal Station,,platform,yes,yes,,POINT (4.9025297 52.3791787),yes,,,F,,,,,,
yes,yes,yes,bus_stop,yes,Centraal Station,,platform,yes,yes,,POINT (4.8992005 52.3802068),yes,,,M,,,,,,
,yes,yes,bus_stop,,Centraal Station,,platform,yes,yes,,POINT (4.9014058 52.3795826),yes,,,D,,,,,,
yes,yes,yes,bus_stop,yes,Centraal Station,,platform,yes,yes,,POINT (4.9020227 52.3793592),yes,,,E,,,,,,
,yes,yes,bus_stop,,Centraal Station,,platform,yes,yes,,POINT (4.9020529 52.3791732),yes,,,G,,,,,,
,,yes,bus_stop,,Waterlooplein,,platform,,,5700,POINT (4.9048316 52.3686934),,,,,,,,,,
,,yes,bus_stop,,Piet Heinkade,,platform,yes,,,POINT (4.9140507 52.3771614),yes,NL:Q:30008003,,,,,,,,
,,yes,bus_stop,,Artis,,platform,,,,POINT (4.9109681 52.3667311),,,,,,,,,,
yes,yes,yes,bus_stop,yes,Plantage Lepellaan,,platform,yes,no,,POINT (4.9152926 52.3652358),,,,,,,,,,
yes,yes,yes,bus_stop,yes,Rembrandtplein,,platform,yes,yes,,POINT (4.8964231 52.3662755),yes,,,,,,,https://9292.nl/amsterdam/bus-tramhalte-rembrandtplein,,
yes,yes,yes,bus_stop,yes,Rembrandtplein,,platform,yes,yes,,POINT (4.896817 52.3662109),yes,,,,,,,,,
yes,yes,yes,bus_stop,,Waterlooplein,,platform,yes,,,POINT (4.9022613 52.3671599),,,,,,,,,Waterlooplatz,
yes,yes,yes,bus_stop,,Waterlooplein,,platform,yes,,,POINT (4.901957 52.3670031),,,,,,,,,Waterlooplatz,
,,yes,bus_stop,,Artis,,platform,,,,POINT (4.9113107 52.3665445),,,,,,,,,,
,,yes,bus_stop,,Dam,,platform,,,,POINT (4.8913508 52.3735782),,,,,,yes,Q111305178,,,
yes,yes,yes,bus_stop,yes,Muntplein,,platform,yes,yes,,POINT (4.89311 52.3662374),,,,,,,,,,
,,yes,bus_stop,,Dam,,platform,,,,POINT (4.891261 52.3744198),,,,,,,,,,
,,yes,bus_stop,,Dam,,platform,,,,POINT (4.8915501 52.3745844),,,,,,,,,,positie niet zeker
