name,public_transport,railway,tram,wheelchair,wikidata,geometry,alt_name,old_name,bench,bin,bus,highway,lit,shelter,tactile_paving,zone,int_name,name:en,name:nl,name:zh,description,name:de,operator,local_ref,route_ref,wikidata_2,construction,network,network:wikidata,operator:wikidata,ref:IFOPT,note,website
Leidseplein,platform,,,yes,,POINT (4.8808701 52.3621301),,,yes,yes,yes,bus_stop,yes,yes,yes,5700,,,,,,,,,,,,,,,,,
Kinkerstraat,stop_position,tram_stop,yes,yes,Q111307979,POINT (4.8722954 52.3670831),,,,,,bus_stop,,,,,,,,,,,,,,,,,,,,,
Ruysdaelkade,platform,,,,,POINT (4.8865383 52.360214),,,,,yes,bus_stop,,,,,,,,,,,,,,,,,,,,,
Nassaukade,platform,,,,,POINT (4.8786728 52.3646442),,,,,yes,bus_stop,,,,,,,,,,,,,,,,,,,,,
Ferdinand Bolstraat,platform,,,,,POINT (4.8923116 52.3580015),,,no,,yes,bus_stop,,no,,5700,,,,,,,,,,,,,,,NL:Q:30009188,,
Ferdinand Bolstraat,platform,,,,,POINT (4.8918918 52.3579123),,,no,,yes,bus_stop,,no,,5700,,,,,,,,,,,,,,,NL:Q:30009184,,
Ruysdaelkade,platform,,,,,POINT (4.8866072 52.3603501),,,,,yes,bus_stop,,,,,,,,,,,,,,,,,,,,,
Leidseplein,platform,,,,,POINT (4.8806669 52.3625755),,,yes,yes,yes,bus_stop,yes,yes,yes,5700,,,,,,,,,,,,,,,,,
Concertgebouw,platform,,,yes,,POINT (4.8796094 52.3559967),,,,,yes,bus_stop,,,,,,,,,,,,,,,,,,,,,
Elandsgracht,platform,,,,,POINT (4.8774469 52.3697306),,,yes,yes,yes,bus_stop,yes,yes,yes,5700,,,,,,,,,,,,,,,NL:Q:57002620,,
Elandsgracht,platform,,,,,POINT (4.8785047 52.3680969),,,yes,,yes,bus_stop,,yes,,,,,,,,,,,,,,,,,NL:Q:57006027,,
Rokin,platform,,,,,POINT (4.8920866 52.3694587),,Spui,yes,yes,yes,bus_stop,yes,yes,yes,,,,,,,,,,,,,,,,,,
Rokin,platform,,,,,POINT (4.892305 52.3697177),,Spui,yes,yes,yes,bus_stop,yes,yes,yes,,,,,,,,,,,,,,,,,,
Rozengracht,platform,,,,,POINT (4.8759754 52.3718262),,,yes,yes,yes,bus_stop,no,yes,no,,,,,,,,,,,,,,,,,,
Overtoom,platform,,yes,limited,,POINT (4.8750109 52.3632351),,,yes,no,yes,bus_stop,yes,yes,yes,,,,,,,,,,,,,,,,,,
Overtoom,platform,,yes,limited,,POINT (4.8750531 52.3630036),,,yes,no,yes,bus_stop,yes,yes,yes,,,,,,,,,,,,,,,,,,
Leidseplein,platform,,,,,POINT (4.8809363 52.3631729),,,yes,yes,yes,bus_stop,no,yes,yes,,,,,,,,,,,,,,,,,,
Kinkerstraat,platform,,,yes,,POINT (4.8723249 52.3670897),,,yes,yes,yes,bus_stop,yes,yes,yes,,,,,,,,,,,,,,,,,,
Frederiksplein,platform,,,,,POINT (4.8988626 52.3589959),,,yes,yes,yes,bus_stop,yes,yes,yes,,,,,,,,,,,,,,,,,,
Rembrandtplein,platform,,,yes,,POINT (4.8964231 52.3662755),,,yes,yes,yes,bus_stop,yes,yes,yes,,,,,,,,,,,,,,,,,,https://9292.nl/amsterdam/bus-tramhalte-rembrandtplein
Rembrandtplein,platform,,,yes,,POINT (4.896817 52.3662109),,,yes,yes,yes,bus_stop,yes,yes,yes,,,,,,,,,,,,,,,,,,
Keizersgracht,platform,,,yes,,POINT (4.8983492 52.3638366),,,yes,no,yes,bus_stop,yes,yes,no,,,,,,,,,,,,,,,,,,
Keizersgracht,platform,,,yes,,POINT (4.8982641 52.3637865),,,yes,no,yes,bus_stop,yes,yes,no,,,,,,,,,,,,,,,,,,
Concertgebouw,platform,,,yes,,POINT (4.878497 52.3555241),,,,,yes,bus_stop,,,,,,,,,,,,,,,,,,,,,
Concertgebouw,platform,,,yes,,POINT (4.8797676 52.3563987),,,,,yes,bus_stop,,yes,,,,,,,,,,,,,,,,,,,
Concertgebouw,platform,,,yes,,POINT (4.8796715 52.3567008),,,,,yes,bus_stop,,yes,,,,,,,,,,,,,,,,,,,
Prinsengracht,platform,,,,,POINT (4.8989915 52.3621859),,,yes,no,yes,bus_stop,yes,yes,yes,,,,,,,,,,,,,,,,,,
Prinsengracht,platform,,,,,POINT (4.8989467 52.362016),,,yes,no,yes,bus_stop,yes,yes,no,,,,,,,,,,,,,,,,,,
Leidseplein,platform,,,,,POINT (4.8806582 52.3647478),,,yes,yes,yes,bus_stop,yes,yes,yes,,,,,,,,,,,,,,,,,,
Muntplein,platform,,,,,POINT (4.89311 52.3662374),,,yes,yes,yes,bus_stop,yes,yes,yes,,,,,,,,,,,,,,,,,,
Museumplein,platform,,,,,POINT (4.8809124 52.3586651),,,yes,yes,yes,bus_stop,yes,yes,yes,,,,,,,,,,,,,,,,,,
