addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,check_date:opening_hours,name,opening_hours:signed,source,source:date,toilets:wheelchair,wheelchair,geometry,diet:vegetarian,internet_access,internet_access:fee,opening_hours,outdoor_seating,website,wikidata,wikipedia,description,diet:vegan,phone,cuisine,shop,brand,brand:wikidata,contact:website,indoor_seating,check_date,payment:mastercard,payment:visa,url,email,contact:facebook,brand:wikipedia,contact:instagram,alt_name,note,operator,stars,name:en,name:nl,name:zh,delivery,takeaway,start_date,old_name,contact:phone,diet:gluten_free,diet:meat,gluten_free,gay,air_conditioning,smoking,check_date:currency:XBT,fax,bar,brewery,capacity,payment:cash,reservation,toilets,level,toilets:access,opening_hours:kitchen,contact:twitter,payment:credit_cards,payment:debit_cards,name:fr,contact:mobile,image,lunch,addr:suburb,contact:email,building:colour,building:levels,name:vi,addr:housename,branch,addr:floor,changing_table,contact:whatsapp,self_service,nodes,building,ref:bag,walking_time
Amsterdam,NL,25,1017CL,Reguliersbreestraat,restaurant,2023-04-26,El Torado Grill,no,BAG,2014-02-11,no,limited,POINT (4.8947159 52.3666908),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.7287437302735
,,,,,restaurant,,Waaghals,,,,,limited,POINT (4.889014 52.3571286),only,,,,,http://www.waaghals.nl,,,Vegetarisch Restaurant De Waaghals,yes,+31 20 679 9609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.7787345239399
Amsterdam,,203,1012XC,Kalverstraat,restaurant,,La Place,,BAG,2014-02-11,no,yes,POINT (4.8924135 52.3676426),,,,,,https://www.laplace.com/,,,,,,,,La Place,Q2041183,https://www.laplace.com/nl/locations/detail/la-place-amsterdam-kalverstraat-vd/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.389256781205
Amsterdam,NL,515,1017BV,Herengracht,restaurant,,Kramer,,,,,no,POINT (4.8926577 52.3654467),,wlan,no,,,https://cafekramer.nl/,,,,,+31 20 320 8175,asian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.5969695479683
,,,,,restaurant,,Bollywood Indian Restaurant,,,,,,POINT (4.8844033 52.3639694),,,,,,https://restaurantbollywood.nl/en/,,,,yes,,indian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.80221940591338
Amsterdam,,37,1017NG,Lange Leidsedwarsstraat,restaurant,,Puri Mas Indonesisch Restaurant,,,,,,POINT (4.8845382 52.3641036),,,,Tu-Su 17:00-22:30,,http://www.purimas.nl,,,,,,indonesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.02643944901986
Amsterdam,,96,1071BB,Van Baerlestraat,restaurant,,Brasserie Keyzer,,,,,,POINT (4.8792088 52.3568126),,,,,no,https://brasseriekeyzer.nl,,,,,+31 20 675 1866,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546.6376610201024
Amsterdam,NL,52,1071BA,Van Baerlestraat,restaurant,,Small Talk,,,,,limited,POINT (4.878408 52.3579755),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.99335537101183
Amsterdam,,12A-14,1017CV,Rembrandtplein,restaurant,,La Madonnina,,,,,no,POINT (4.8955024 52.3658484),,,,,,,,,,,,italian,,,,,,2023-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591.8202147870888
,,,,,restaurant,,LM,,,,,,POINT (4.8885043 52.356045),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585.0495383841527
,,,,,restaurant,,ISSHIN,,,,,limited,POINT (4.8886451 52.3570377),,,,,,https://www.isshin-amsterdam.nl,,,,,,japanese,,,,,,2023-06-02,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514.6360541448468
,,,,,restaurant,,De 3 Vrienden,,,,,limited,POINT (4.8887506 52.357371),,,,,,,,,,,,,,,,,,,,,http://www.de3vrienden.nl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.83188990081186
Amsterdam,,26-H,,Frans Halsstraat,restaurant,,Le Restaurant,,,,,limited,POINT (4.8887434 52.357778),,,,,,https://www.le-restaurant.nl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463.8211696170664
Amsterdam,,2,1072BR,Frans Halsstraat,restaurant,,Otaru,,,,,limited,POINT (4.8888704 52.3584175),,,,,,https://www.otaru.nl/,,,,,+31 20 670 8972,japanese,,,,,,,,,,info@otaru.nl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.7254301465358
Amsterdam,NL,27,1071BL,Pieter Cornelisz. Hooftstraat,restaurant,,Sama Sebo,,,,,no,POINT (4.8831414 52.3606764),,,,"Mo-Sa 12:00-15:00, 17:00+; PH off",,https://www.samasebo.nl/,,,,,,indonesian,,,,,,,,,,,https://www.facebook.com/profile.php?id=100054419023408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.75053180526294
,,,,,restaurant,,Maxies,,,,,,POINT (4.8797621 52.3600875),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.7312451314167
,,,,,restaurant,,Peper & Zout,,,,,,POINT (4.8742446 52.3622867),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.2373389296906
Amsterdam,,57,1017MA,Max Euweplein,restaurant,,Hard Rock Cafe,,,,no,limited,POINT (4.8833077 52.3621869),yes,,,"Mo-Th 09:00-24:00, Fr,Sa 09:00-01:00",,https://www.hardrockcafe.com/location/amsterdam/#utm_source=Google&utm_medium=Yext&utm_campaign=Listings,,,,,+31 20 888 1358,american,,Hard Rock Cafe,Q918151,,,,,,,,,en:Hard Rock Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.15011881390775
,,,,,restaurant,,Hosokawa,,,,,,POINT (4.8827502 52.3629202),,,,,,,,,,,,japanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.624690264058
,,,,,restaurant,,Wagamama,,,,yes,yes,POINT (4.8831541 52.3625079),,,,Mo-Su 12:00-22:00,,,,,,,+31 20 528 7778,asian,,Wagamama,Q503715,,,,,,,,,en:Wagamama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.73503109818878
